Date,MEI
2000-01,-1.25
2000-02,-1.26
2000-03,-1.37
2000-04,-0.9
2000-05,-0.94
2000-06,-1.18
2000-07,-0.61
2000-08,-0.08
2000-09,-0.36
2000-10,-0.52
2000-11,-0.86
2000-12,-0.79
2001-01,-0.84
2001-02,-0.86
2001-03,-0.78
2001-04,-0.55
2001-05,-0.52
2001-06,-0.73
2001-07,0.03
2001-08,0.38
2001-09,-0.06
2001-10,-0.23
2001-11,-0.28
2001-12,0.06
2002-01,0.09
2002-02,-0.26
2002-03,-0.2
2002-04,-0.36
2002-05,-0.14
2002-06,0.34
2002-07,0.43
2002-08,1.01
2002-09,0.88
2002-10,0.84
2002-11,0.84
2002-12,0.91
2003-01,0.82
2003-02,0.63
2003-03,0.53
2003-04,-0.11
2003-05,-0.61
2003-06,-0.1
2003-07,0.01
2003-08,0.05
2003-09,0.18
2003-10,0.28
2003-11,0.3
2003-12,0.14
2004-01,0.19
2004-02,-0.04
2004-03,-0.43
2004-04,-0.23
2004-05,-0.46
2004-06,-0.38
2004-07,0.46
2004-08,0.76
2004-09,0.58
2004-10,0.4
2004-11,0.56
2004-12,0.48
2005-01,0.09
2005-02,0.61
2005-03,0.83
2005-04,0.14
2005-05,0.19
2005-06,0.21
2005-07,-0.0
2005-08,0.02
2005-09,-0.02
2005-10,-0.66
2005-11,-0.7
2005-12,-0.7
2006-01,-0.64
2006-02,-0.49
2006-03,-0.62
2006-04,-0.84
2006-05,-0.42
2006-06,-0.17
2006-07,0.22
2006-08,0.59
2006-09,0.65
2006-10,0.77
2006-11,1.0
2006-12,0.64
2007-01,0.64
2007-02,0.4
2007-03,-0.19
2007-04,-0.32
2007-05,-0.41
2007-06,-0.83
2007-07,-0.76
2007-08,-0.91
2007-09,-1.06
2007-10,-1.13
2007-11,-1.12
2007-12,-1.19
2008-01,-1.07
2008-02,-1.27
2008-03,-1.52
2008-04,-1.1
2008-05,-0.99
2008-06,-0.79
2008-07,-0.78
2008-08,-1.01
2008-09,-1.02
2008-10,-1.09
2008-11,-0.98
2008-12,-1.01
2009-01,-1.01
2009-02,-0.85
2009-03,-0.95
2009-04,-0.81
2009-05,-0.72
2009-06,-0.05
2009-07,0.56
2009-08,0.56
2009-09,0.42
2009-10,0.56
2009-11,1.04
2009-12,0.95
2010-01,0.93
2010-02,1.28
2010-03,1.33
2010-04,0.49
2010-05,-0.12
2010-06,-1.29
2010-07,-2.42
2010-08,-2.38
2010-09,-2.26
2010-10,-2.16
2010-11,-2.01
2010-12,-1.85
2011-01,-1.77
2011-02,-1.59
2011-03,-1.75
2011-04,-1.69
2011-05,-1.24
2011-06,-1.03
2011-07,-0.75
2011-08,-0.81
2011-09,-1.08
2011-10,-1.3
2011-11,-1.14
2011-12,-1.18
2012-01,-1.07
2012-02,-0.68
2012-03,-0.59
2012-04,-0.38
2012-05,-0.32
2012-06,-0.28
2012-07,0.34
2012-08,-0.02
2012-09,-0.29
2012-10,-0.19
2012-11,-0.03
2012-12,-0.03
2013-01,-0.06
2013-02,-0.08
2013-03,-0.13
2013-04,-0.35
2013-05,-0.68
2013-06,-1.14
2013-07,-0.79
2013-08,-0.45
2013-09,-0.33
2013-10,-0.13
2013-11,-0.16
2013-12,-0.33
2014-01,-0.5
2014-02,-0.42
2014-03,-0.05
2014-04,-0.17
2014-05,-0.17
2014-06,0.0
2014-07,0.41
2014-08,0.23
2014-09,-0.1
2014-10,0.11
2014-11,0.37
2014-12,0.35
2015-01,0.23
2015-02,0.06
2015-03,0.15
2015-04,0.31
2015-05,0.95
2015-06,1.9
2015-07,1.79
2015-08,1.95
2015-09,2.24
2015-10,2.15
2015-11,1.93
2015-12,1.93
2016-01,1.93
2016-02,1.8
2016-03,1.32
2016-04,1.32
2016-05,1.24
2016-06,0.35
2016-07,-0.54
2016-08,-0.26
2016-09,-0.29
2016-10,-0.53
2016-11,-0.47
2016-12,-0.37
2017-01,-0.42
2017-02,-0.41
2017-03,-0.58
2017-04,-0.19
2017-05,0.2
2017-06,-0.23
2017-07,-0.63
2017-08,-0.72
2017-09,-0.73
2017-10,-0.59
2017-11,-0.62
2017-12,-0.74
2018-01,-0.79
2018-02,-0.71
2018-03,-0.8
2018-04,-1.32
2018-05,-0.94
2018-06,-0.51
2018-07,-0.05
2018-08,0.47
2018-09,0.62
2018-10,0.52
2018-11,0.33
2018-12,0.18
2019-01,0.09
2019-02,0.5
2019-03,0.76
2019-04,0.3
2019-05,0.23
2019-06,0.35
2019-07,0.3
2019-08,0.32
2019-09,0.16
2019-10,0.31
2019-11,0.47
2019-12,0.36
2020-01,0.24
2020-02,0.26
2020-03,0.13
2020-04,-0.15
2020-05,-0.23
2020-06,-0.68
2020-07,-0.94
2020-08,-0.96
2020-09,-1.15
2020-10,-1.17
2020-11,-1.13
2020-12,-1.14
2021-01,-1.2
2021-02,-0.96
2021-03,-0.79
2021-04,-0.95
2021-05,-1.07
2021-06,-1.05
2021-07,-1.44
2021-08,-1.29
2021-09,-1.37
2021-10,-1.46
2021-11,-1.39
2021-12,-1.2
2022-01,-1.01
2022-02,-0.98
2022-03,-1.31
2022-04,-1.6
2022-05,-1.63
2022-06,-1.9
2022-07,-2.17
2022-08,-1.75
2022-09,-1.73
2022-10,-1.72
2022-11,-1.53
2022-12,-1.27
2023-01,-1.11
2023-02,-0.91
2023-03,-0.76
2023-04,-0.36
2023-05,-0.06
2023-06,0.43
2023-07,0.51
2023-08,0.51
2023-09,0.69
2023-10,0.48
2023-11,0.91
2023-12,1.13
2024-01,0.7
2024-02,0.68
2024-03,0.78
2024-04,0.34
2024-05,0.12
2024-06,-0.24
2024-07,-0.72
2024-08,-0.73
2024-09,-0.65
2024-10,-0.51
2024-11,-0.68
2024-12,-0.91
